Year,Group,Units,Value
2021,Gipuzkoa,%,55.88
2022,Gipuzkoa,%,57.05
2023,Gipuzkoa,%,57.54
2024,Gipuzkoa,%,57.99
2021,Debagoiena,%,55.1
2022,Debagoiena,%,56.2
2023,Debagoiena,%,56.6
2024,Debagoiena,%,57.6
2021,Bidasoa,%,53.6
2022,Bidasoa,%,54.8
2023,Bidasoa,%,55.1
2024,Bidasoa,%,55.3
2021,Debabarrena,%,52.5
2022,Debabarrena,%,53.7
2023,Debabarrena,%,54.3
2024,Debabarrena,%,54.7
2021,Donostialdea,%,58.0
2022,Donostialdea,%,59.0
2023,Donostialdea,%,59.5
2024,Donostialdea,%,59.9
2021,Goierri,%,52.2
2022,Goierri,%,53.4
2023,Goierri,%,54.0
2024,Goierri,%,54.5
2021,Tolosaldea,%,53.4
2022,Tolosaldea,%,54.8
2023,Tolosaldea,%,55.4
2024,Tolosaldea,%,56.1
2021,Urola-Kosta,%,57.2
2022,Urola-Kosta,%,58.3
2023,Urola-Kosta,%,58.8
2024,Urola-Kosta,%,59.5
