Indicator,Disaggregations,Number of disaggregations
#5-4-1,"sex, type of unpaid work, degree of urbanisation, age group",4
#5-5-1,"länder, political institution",2
#5-5-2,COMMENT_OBS_0,1
#5-6-1,Group,1
#5-6-2,"COMMENT_OBS_0, thematic area",2
#5-a-1,"COMMENT_OBS_0, timeseries, ownership",3
#5-a-2,COMMENT_OBS_0,1
#5-b-1,COMMENT_OBS_0,1
#6-1-1,COMMENT_OBS_0,1
#6-2-1,"COMMENT_OBS_0, COMMENT_OBS_1, timeseries, availability",4
#6-3-1,"COMMENT_OBS_0, type of waste water, treatment",3
#6-3-2,timeseries,1
#6-4-1,"COMMENT_OBS_0, economic activity",2
#6-4-2,"COMMENT_OBS_0, water use index",2
#6-5-1,section,1
#6-6-1,ecosystem,1
#6-a-1,time series,1
#7-1-2,COMMENT_OBS_0,1
#7-2-1,COMMENT_OBS_0,1
#7-3-1,COMMENT_OBS_0,1
#7-a-1,Group,1
#7-b-1,COMMENT_OBS_0,1
#8-1-1,COMMENT_OBS_0,1
#8-10-1,"COMMENT_OBS_0, timeseries",2
#8-10-2,"COMMENT_OBS_0, COMMENT_OBS_1, type of account",3
#8-2-1,"COMMENT_OBS_0, COMMENT_OBS_1",2
#8-3-1,Group,1
#8-4-1,COMMENT_OBS_0,1
#8-4-2,COMMENT_OBS_0,1
#8-5-1,"COMMENT_OBS_0, länder, sex",3
#8-5-2,"COMMENT_OBS_0, sex, age group",3
#8-6-1,"COMMENT_OBS_0, sex",2
#8-7-1,"COMMENT_OBS_0, sex, age group",3
#8-8-1,"COMMENT_OBS_0, sex, timeseries",3
#8-8-2,COMMENT_OBS_0,1
#8-9-1,COMMENT_OBS_0,1
#8-a-1,time series,1
#9-1-1,COMMENT_OBS_0,1
#9-1-2,"COMMENT_OBS_0, mode of transport",2
#9-2-1,COMMENT_OBS_0,1
#9-2-2,"COMMENT_OBS_0, sex, timeseries",3
#9-3-1,COMMENT_OBS_0,1
#9-3-2,Group,1
#9-4-1,COMMENT_OBS_0,1
#9-5-1,"COMMENT_OBS_0, länder",2
#9-5-2,COMMENT_OBS_0,1
#9-a-1,time series,1
#9-b-1,"COMMENT_OBS_0, enterprise definition, technology sectors",3
#9-c-1,"COMMENT_OBS_0, länder, technology",3
