Disaggregation,Number of indicators,Number of values
age group,9,19
age of mother,1,2
area of law,1,4
area2,1,4
availability,1,2
bound,1,2
COMMENT_OBS_0,85,9
COMMENT_OBS_1,3,3
completeness of disaggregation,1,3
conversion,1,2
degree of urbanisation,1,2
disease,4,22
economic activity,2,5
ecosystem,1,3
educational level,2,4
enterprise definition,1,2
goal,1,13
grade,1,4
Group,15,2
indicator,1,5
level of proficiency,1,2
level of risk of extinction,1,5
level,1,3
länder,5,17
mode of transport,1,6
ownership,1,2
pathogens and resistance,1,2
political institution,1,4
profession,1,4
proportion of household expenditures on health,1,2
section,1,5
sector,1,2
sex,16,3
skill,1,2
speed,1,5
subject,1,2
substance,1,2
technology sectors,1,2
technology,1,3
thematic area,1,4
time series,9,12
timeseries,14,44
treatment,1,2
type of account,1,2
type of ict competence,1,8
type of service,1,4
type of unpaid work,1,3
type of waste water,1,2
water use index,1,2
