Year,Comarca,Units,Value
2021,Gipuzkoa,%,24.94
2022,Gipuzkoa,%,23.93
2023,Gipuzkoa,%,23.63
2024,Gipuzkoa,%,23.13
2021,Debagoiena,%,25.6
2022,Debagoiena,%,24.9
2023,Debagoiena,%,24.5
2024,Debagoiena,%,24.0
2021,Bidasoa,%,24.3
2022,Bidasoa,%,23.0
2023,Bidasoa,%,23.0
2024,Bidasoa,%,22.7
2021,Debabarrena,%,29.0
2022,Debabarrena,%,28.0
2023,Debabarrena,%,27.4
2024,Debabarrena,%,27.1
2021,Donostialdea,%,22.3
2022,Donostialdea,%,21.4
2023,Donostialdea,%,21.1
2024,Donostialdea,%,20.7
2021,Goierri,%,29.5
2022,Goierri,%,28.4
2023,Goierri,%,28.1
2024,Goierri,%,27.5
2021,Tolosaldea,%,29.1
2022,Tolosaldea,%,27.9
2023,Tolosaldea,%,27.3
2024,Tolosaldea,%,26.5
2021,Urola-Kosta,%,25.4
2022,Urola-Kosta,%,24.4
2023,Urola-Kosta,%,24.0
2024,Urola-Kosta,%,23.3
